[2023-05-31 01:34:40,513][core][INFO] - Step: 8500, Upper Loss: 6.323739944491535e-05, Lower Loss: 0.0002919150283560157, Upper Q: 0.02572033181786537, Lower Q: 7.3154296875
[2023-05-31 01:34:41,549][core][INFO] - Step: 8600, Upper Loss: 0.00016630646132398397, Lower Loss: 0.0004506754339672625, Upper Q: 0.030057627707719803, Lower Q: 6.934364318847656
[2023-05-31 01:34:42,731][core][INFO] - Step: 8700, Upper Loss: 0.00011056975927203894, Lower Loss: 0.0006920044543221593, Upper Q: 0.0251251682639122, Lower Q: 6.763862609863281
[2023-05-31 01:34:43,792][core][INFO] - Step: 8800, Upper Loss: 0.0012085435446351767, Lower Loss: 0.0030989539809525013, Upper Q: 0.02948659472167492, Lower Q: 6.781806945800781
[2023-05-31 01:34:44,853][core][INFO] - Step: 8900, Upper Loss: 0.0001040973438648507, Lower Loss: 0.0012004885356873274, Upper Q: 0.027675561606884003, Lower Q: 6.516685962677002
[2023-05-31 01:34:45,903][core][INFO] - Step: 9000, Upper Loss: 8.608565258327872e-05, Lower Loss: 0.017250439152121544, Upper Q: 0.025408975780010223, Lower Q: 6.4038238525390625
[2023-05-31 01:34:46,952][core][INFO] - Step: 9100, Upper Loss: 7.073467713780701e-05, Lower Loss: 0.0047575850039720535, Upper Q: 0.022623170167207718, Lower Q: 6.20281982421875
[2023-05-31 01:34:48,082][core][INFO] - Step: 9200, Upper Loss: 0.00027266962570138276, Lower Loss: 0.001988163450732827, Upper Q: 0.017672862857580185, Lower Q: 6.283478736877441
[2023-05-31 01:34:49,180][core][INFO] - Step: 9300, Upper Loss: 5.799282735097222e-05, Lower Loss: 0.004472243133932352, Upper Q: 0.019532181322574615, Lower Q: 6.532308578491211
[2023-05-31 01:34:50,226][core][INFO] - Step: 9400, Upper Loss: 8.76625781529583e-05, Lower Loss: 0.020233433693647385, Upper Q: 0.015671223402023315, Lower Q: 6.277913570404053
[2023-05-31 01:34:51,302][core][INFO] - Step: 9500, Upper Loss: 0.00011653000547084957, Lower Loss: 0.0012119599850848317, Upper Q: 0.025385797023773193, Lower Q: 6.375879764556885
[2023-05-31 01:34:52,397][core][INFO] - Step: 9600, Upper Loss: 4.356739009381272e-05, Lower Loss: 0.0007383266929537058, Upper Q: 0.018938057124614716, Lower Q: 6.335549354553223
[2023-05-31 01:34:53,559][core][INFO] - Step: 9700, Upper Loss: 5.042290285928175e-05, Lower Loss: 0.0006467566126957536, Upper Q: 0.013040054589509964, Lower Q: 6.228414535522461
[2023-05-31 01:34:54,797][core][INFO] - Step: 9800, Upper Loss: 6.427839980460703e-05, Lower Loss: 0.0005988340708427131, Upper Q: 0.020738670602440834, Lower Q: 6.265364646911621
[2023-05-31 01:34:55,890][core][INFO] - Step: 9900, Upper Loss: 0.00011381752119632438, Lower Loss: 0.0005124305607751012, Upper Q: 0.022022396326065063, Lower Q: 6.074456214904785
[2023-05-31 01:34:56,944][core][INFO] - Step: 10000, Upper Loss: 9.68902459135279e-05, Lower Loss: 0.0002722408971749246, Upper Q: 0.02717452123761177, Lower Q: 5.931014060974121
[2023-05-31 01:34:58,024][core][INFO] - Step: 10100, Upper Loss: 9.892099478747696e-05, Lower Loss: 0.00038254010723903775, Upper Q: 0.031054671853780746, Lower Q: 5.650247573852539
[2023-05-31 01:34:59,107][core][INFO] - Step: 10200, Upper Loss: 0.00014735784498043358, Lower Loss: 0.0002156661357730627, Upper Q: 0.02414807863533497, Lower Q: 5.334720611572266
[2023-05-31 01:35:00,352][core][INFO] - Step: 10300, Upper Loss: 0.00012852236977778375, Lower Loss: 0.00016806944040581584, Upper Q: 0.027415962889790535, Lower Q: 5.552757740020752
[2023-05-31 01:35:01,516][core][INFO] - Step: 10400, Upper Loss: 9.624863741919398e-05, Lower Loss: 0.00016324775060638785, Upper Q: 0.025341860949993134, Lower Q: 5.245956897735596
[2023-05-31 01:35:02,672][core][INFO] - Step: 10500, Upper Loss: 0.003995534498244524, Lower Loss: 0.0001797973964130506, Upper Q: 0.026233864948153496, Lower Q: 5.182860851287842
[2023-05-31 01:35:03,787][core][INFO] - Step: 10600, Upper Loss: 0.00014319602632895112, Lower Loss: 0.0003265798441134393, Upper Q: 0.02473725751042366, Lower Q: 5.047535419464111
[2023-05-31 01:35:04,878][core][INFO] - Step: 10700, Upper Loss: 0.0008334049489349127, Lower Loss: 0.00023640564177185297, Upper Q: 0.027687987312674522, Lower Q: 4.658740997314453
[2023-05-31 01:35:06,046][core][INFO] - Step: 10800, Upper Loss: 0.00022129944409243762, Lower Loss: 0.0001096946798497811, Upper Q: 0.02770555019378662, Lower Q: 4.6870503425598145
[2023-05-31 01:35:07,176][core][INFO] - Step: 10900, Upper Loss: 7.860028563300148e-05, Lower Loss: 8.93897085916251e-05, Upper Q: 0.023230277001857758, Lower Q: 4.669275283813477
[2023-05-31 01:35:08,429][core][INFO] - Step: 11000, Upper Loss: 0.00042105751344934106, Lower Loss: 0.00011377334885764867, Upper Q: 0.03752730041742325, Lower Q: 4.325772285461426
[2023-05-31 01:35:09,539][core][INFO] - Step: 11100, Upper Loss: 0.00010433540592202917, Lower Loss: 0.002365360502153635, Upper Q: 0.033132992684841156, Lower Q: 4.185044288635254
[2023-05-31 01:35:10,717][core][INFO] - Step: 11200, Upper Loss: 0.0005879959790036082, Lower Loss: 0.0022888858802616596, Upper Q: 0.04264632612466812, Lower Q: 4.370190620422363
[2023-05-31 01:35:11,874][core][INFO] - Step: 11300, Upper Loss: 0.00033989112125709653, Lower Loss: 0.0015568449161946774, Upper Q: 0.03153733164072037, Lower Q: 4.202951431274414
[2023-05-31 01:35:12,970][core][INFO] - Step: 11400, Upper Loss: 6.0617960116360337e-05, Lower Loss: 0.0013291683280840516, Upper Q: 0.029342742636799812, Lower Q: 4.144016265869141
[2023-05-31 01:35:14,071][core][INFO] - Step: 11500, Upper Loss: 0.00013255438534542918, Lower Loss: 0.001479380764067173, Upper Q: 0.03499963879585266, Lower Q: 4.022859573364258
[2023-05-31 01:35:15,121][core][INFO] - Step: 11600, Upper Loss: 0.00039633369306102395, Lower Loss: 0.0025239372625947, Upper Q: 0.0410698764026165, Lower Q: 4.1645379066467285
[2023-05-31 01:35:16,313][core][INFO] - Step: 11700, Upper Loss: 0.00040829245699569583, Lower Loss: 0.001199127989821136, Upper Q: 0.03708980977535248, Lower Q: 4.341826438903809
[2023-05-31 01:35:17,584][core][INFO] - Step: 11800, Upper Loss: 0.00023680785670876503, Lower Loss: 0.0023591946810483932, Upper Q: 0.03522888198494911, Lower Q: 4.630857467651367
[2023-05-31 01:35:18,844][core][INFO] - Step: 11900, Upper Loss: 0.00028085411759093404, Lower Loss: 0.004603233188390732, Upper Q: 0.06091850996017456, Lower Q: 4.668092727661133
[2023-05-31 01:35:19,957][core][INFO] - Step: 12000, Upper Loss: 0.00022235604410525411, Lower Loss: 0.0015220867935568094, Upper Q: 0.04086900129914284, Lower Q: 4.759142875671387
[2023-05-31 01:35:21,051][core][INFO] - Step: 12100, Upper Loss: 0.0003385575255379081, Lower Loss: 0.0010209516622126102, Upper Q: 0.05672336369752884, Lower Q: 4.716404914855957
[2023-05-31 01:35:22,193][core][INFO] - Step: 12200, Upper Loss: 0.0003750651958398521, Lower Loss: 0.0004076860495842993, Upper Q: 0.05672690272331238, Lower Q: 4.875819206237793
[2023-05-31 01:35:23,330][core][INFO] - Step: 12300, Upper Loss: 0.00041379278991371393, Lower Loss: 0.00044355355203151703, Upper Q: 0.06514961272478104, Lower Q: 4.661116123199463
[2023-05-31 01:35:24,406][core][INFO] - Step: 12400, Upper Loss: 0.00019751157378777862, Lower Loss: 0.00023788203543517739, Upper Q: 0.05847620964050293, Lower Q: 4.593457221984863
[2023-05-31 01:35:25,456][core][INFO] - Step: 12500, Upper Loss: 0.00023194825917016715, Lower Loss: 0.0002721042837947607, Upper Q: 0.05731219798326492, Lower Q: 4.381307601928711
[2023-05-31 01:35:26,513][core][INFO] - Step: 12600, Upper Loss: 0.0002341655344935134, Lower Loss: 0.0001873997098300606, Upper Q: 0.04887168109416962, Lower Q: 4.236446380615234
[2023-05-31 01:35:27,547][core][INFO] - Step: 12700, Upper Loss: 0.0007509043789468706, Lower Loss: 0.00020994710212107748, Upper Q: 0.05445624887943268, Lower Q: 4.189262866973877
[2023-05-31 01:35:28,664][core][INFO] - Step: 12800, Upper Loss: 0.0002249638200737536, Lower Loss: 0.00035754634882323444, Upper Q: 0.04552021622657776, Lower Q: 3.914008378982544
[2023-05-31 01:35:29,724][core][INFO] - Step: 12900, Upper Loss: 0.00023552298080176115, Lower Loss: 7.544021354988217e-05, Upper Q: 0.05026285722851753, Lower Q: 4.06478214263916
[2023-05-31 01:35:30,783][core][INFO] - Step: 13000, Upper Loss: 0.0002386342966929078, Lower Loss: 0.0006038248538970947, Upper Q: 0.044141557067632675, Lower Q: 3.891587734222412
[2023-05-31 01:35:31,806][core][INFO] - Step: 13100, Upper Loss: 0.0003991155535914004, Lower Loss: 0.0003600275085773319, Upper Q: 0.0567299909889698, Lower Q: 3.6872849464416504
[2023-05-31 01:35:32,839][core][INFO] - Step: 13200, Upper Loss: 0.0001399357570335269, Lower Loss: 0.00018974117119796574, Upper Q: 0.046737007796764374, Lower Q: 3.7630767822265625
[2023-05-31 01:35:33,945][core][INFO] - Step: 13300, Upper Loss: 0.0001441692584194243, Lower Loss: 0.00011045973224099725, Upper Q: 0.047905340790748596, Lower Q: 3.555793285369873
[2023-05-31 01:35:35,018][core][INFO] - Step: 13400, Upper Loss: 0.0002175527042709291, Lower Loss: 0.0001875180605566129, Upper Q: 0.051222123205661774, Lower Q: 3.47650146484375
